Pin: U\n	{"Pref"={"Pin"="U"}}
Pin: su\n	{"Pref"={"Pin"="su"}}
Pin-Priority: 3\n	{"Pref"={"Pin-Priority"="3"}}
Pin-Priority: 40\n\nExplanation: kJ\n	{"Pref"={"Pin-Priority"="40"}}{"Pref"={"Explanation"="kJ"}}
Pin-Priority: 62481\n\n# \n\nPin-Priority: 9\n	{"Pref"={"Pin-Priority"="62481"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="9"}}
Pin: \n\nPin-Priority: 5\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="5"}}
Pin-Priority: 13\n	{"Pref"={"Pin-Priority"="13"}}
# \n	{"Pref"={"#comment"=""}}
Package: *\n\nPackage: *\n\nPin-Priority: 19\n\nPin: R\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="19"}}{"Pref"={"Pin"="R"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
# .Mx\n\nPin: \n	{"Pref"={"#comment"=".Mx"}}{"Pref"={"Pin"=""}}
Explanation: w.\n	{"Pref"={"Explanation"="w."}}
Pin: gu\n\nPin-Priority: 3312\n	{"Pref"={"Pin"="gu"}}{"Pref"={"Pin-Priority"="3312"}}
Explanation: q\n\n# R\n\nExplanation: \n\nPin-Priority: 7\n\nPackage: *\n	{"Pref"={"Explanation"="q"}}{"Pref"={"#comment"="R"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Package"="*"}}
# s\n\nPackage: g\n\n# S\n\n# \n\n# \n\nPin-Priority: 0\n\nPin: \n\nPin: \n	{"Pref"={"#comment"="s"}}{"Pref"={"Package"="g"}}{"Pref"={"#comment"="S"}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"=""}}
Package: 8mQmE\n	{"Pref"={"Package"="8mQmE"}}
# \n\nPin: 6\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin"="6"}}
Pin-Priority: 791\n	{"Pref"={"Pin-Priority"="791"}}
Explanation: IV\n\nExplanation: \n\nPin-Priority: 8\n\nPackage: *\n	{"Pref"={"Explanation"="IV"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Package"="*"}}
Pin-Priority: 8\n\nPackage: *\n\nExplanation: +va\n\nPackage: 3=\n\nPin-Priority: 0\n\nPackage: *\n	{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="+va"}}{"Pref"={"Package"="3="}}{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Package"="*"}}
Pin-Priority: 2\n\nPin: \n\nPin: \n	{"Pref"={"Pin-Priority"="2"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"=""}}
Pin: :\n	{"Pref"={"Pin"=":"}}
# u\n	{"Pref"={"#comment"="u"}}
Pin-Priority: 756\n\n# ":jWJvx\n\n# 9T\n\n# A\n\nPin-Priority: 54\n	{"Pref"={"Pin-Priority"="756"}}{"Pref"={"#comment"="\":jWJvx"}}{"Pref"={"#comment"="9T"}}{"Pref"={"#comment"="A"}}{"Pref"={"Pin-Priority"="54"}}
Package: 0XMAPOJ\n\nPin: \n\nExplanation: p\n	{"Pref"={"Package"="0XMAPOJ"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="p"}}
Pin-Priority: 1955190\n	{"Pref"={"Pin-Priority"="1955190"}}
Explanation: CH\n\nPin: H\n	{"Pref"={"Explanation"="CH"}}{"Pref"={"Pin"="H"}}
Pin: lgSch\n\nPin-Priority: 4\n\nPin: IT\n	{"Pref"={"Pin"="lgSch"}}{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Pin"="IT"}}
# +U\n	{"Pref"={"#comment"="+U"}}
Pin-Priority: 22\n\n# \n\nPin-Priority: 156\n\nPackage: -Lb\n	{"Pref"={"Pin-Priority"="22"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="156"}}{"Pref"={"Package"="-Lb"}}
Pin: .\n	{"Pref"={"Pin"="."}}
Package: \n\nPin: 6\n\nPackage: *\n\nExplanation: OJ\n	{"Pref"={"Package"=""}}{"Pref"={"Pin"="6"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="OJ"}}
Explanation: q\n	{"Pref"={"Explanation"="q"}}
Pin-Priority: 8\n\n# b _\n	{"Pref"={"Pin-Priority"="8"}}{"Pref"={"#comment"="b _"}}
# \n\nExplanation: b\n\nPin-Priority: 98\n\n# o/d9z\n\nPin: t\n\nExplanation: y-\n\nPackage: *\n\nPin: .V\n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="b"}}{"Pref"={"Pin-Priority"="98"}}{"Pref"={"#comment"="o/d9z"}}{"Pref"={"Pin"="t"}}{"Pref"={"Explanation"="y-"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"=".V"}}
Package: *\n\nPin: \n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"=""}}
Pin: N"f\n\nPin: \n\nPin: KE2\n\nPin: rt2r\n\nPin: :\n\nPackage: *\n\nExplanation: \n	{"Pref"={"Pin"="N"f"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"="KE2"}}{"Pref"={"Pin"="rt2r"}}{"Pref"={"Pin"=":"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=""}}
Pin: 3y\n\nExplanation: 1\n\nPin-Priority: 05080\n	{"Pref"={"Pin"="3y"}}{"Pref"={"Explanation"="1"}}{"Pref"={"Pin-Priority"="05080"}}
Explanation: 9a/r :QSOQS\n\nExplanation: F\n\nExplanation: t\n	{"Pref"={"Explanation"="9a/r :QSOQS"}}{"Pref"={"Explanation"="F"}}{"Pref"={"Explanation"="t"}}
# IUW\n\nPin-Priority: 2868\n	{"Pref"={"#comment"="IUW"}}{"Pref"={"Pin-Priority"="2868"}}
Pin-Priority: 6\n\nPackage: \n	{"Pref"={"Pin-Priority"="6"}}{"Pref"={"Package"=""}}
Explanation: \n\nPin: \n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}
Package: *\n\nPin-Priority: 7\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="7"}}
Pin-Priority: 42\n	{"Pref"={"Pin-Priority"="42"}}
Pin-Priority: 685\n\nPin-Priority: 06\n	{"Pref"={"Pin-Priority"="685"}}{"Pref"={"Pin-Priority"="06"}}
Package: 0h\n	{"Pref"={"Package"="0h"}}
Pin-Priority: 7\n	{"Pref"={"Pin-Priority"="7"}}
Pin: :YA3mp\n	{"Pref"={"Pin"=":YA3mp"}}
Pin-Priority: 653\n	{"Pref"={"Pin-Priority"="653"}}
Package: xGA7E\n	{"Pref"={"Package"="xGA7E"}}
Pin: 7\n	{"Pref"={"Pin"="7"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin-Priority: 7396\n\n# .T\n	{"Pref"={"Pin-Priority"="7396"}}{"Pref"={"#comment"=".T"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin-Priority: 60\n	{"Pref"={"Pin-Priority"="60"}}
Pin: axH\n	{"Pref"={"Pin"="axH"}}
# x\n\n# J\n\nExplanation: -'h\n	{"Pref"={"#comment"="x"}}{"Pref"={"#comment"="J"}}{"Pref"={"Explanation"="-'h"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
# S\n	{"Pref"={"#comment"="S"}}
Explanation: _9Xz\n\nPin: \n\nExplanation: \n	{"Pref"={"Explanation"="_9Xz"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}
# I C\n	{"Pref"={"#comment"="I C"}}
# CE\n	{"Pref"={"#comment"="CE"}}
Package: *\n\n# \n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}
Package: \n\n# w\n\nPin-Priority: 7644\n\nPin-Priority: 23994\n	{"Pref"={"Package"=""}}{"Pref"={"#comment"="w"}}{"Pref"={"Pin-Priority"="7644"}}{"Pref"={"Pin-Priority"="23994"}}
Pin: A\n\nPin-Priority: 593\n	{"Pref"={"Pin"="A"}}{"Pref"={"Pin-Priority"="593"}}
Pin: 5Vg\n	{"Pref"={"Pin"="5Vg"}}
# L\n\nPin: 8\n	{"Pref"={"#comment"="L"}}{"Pref"={"Pin"="8"}}
Package: \n\n# Cz\n\nPackage: "f\n	{"Pref"={"Package"=""}}{"Pref"={"#comment"="Cz"}}{"Pref"={"Package"=""f"}}
Pin: \n	{"Pref"={"Pin"=""}}
Package: *\n\nPin: JQ\n\nPin: \n\nExplanation: Z0 \n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"="JQ"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="Z0 "}}
Pin-Priority: 32\n\nPackage: "\n\nPin: \n\nExplanation: gg\n\n# z\n	{"Pref"={"Pin-Priority"="32"}}{"Pref"={"Package"="""}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="gg"}}{"Pref"={"#comment"="z"}}
# \n	{"Pref"={"#comment"=""}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin-Priority: 5\n\nExplanation: 7\n	{"Pref"={"Pin-Priority"="5"}}{"Pref"={"Explanation"="7"}}
Explanation: '\n\nPin: "_e\n\nPackage: *\n	{"Pref"={"Explanation"="'"}}{"Pref"={"Pin"=""_e"}}{"Pref"={"Package"="*"}}
Explanation: B\n\nPin: o\n\nPackage: t\n\nExplanation: 4\n\nPackage: *\n	{"Pref"={"Explanation"="B"}}{"Pref"={"Pin"="o"}}{"Pref"={"Package"="t"}}{"Pref"={"Explanation"="4"}}{"Pref"={"Package"="*"}}
Pin-Priority: 570\n	{"Pref"={"Pin-Priority"="570"}}
Explanation: kWW\n\n# jb\n	{"Pref"={"Explanation"="kWW"}}{"Pref"={"#comment"="jb"}}
Pin: i-cJ.q.oG\n\nExplanation: \n\n# Wx\n	{"Pref"={"Pin"="i-cJ.q.oG"}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="Wx"}}
Pin-Priority: 8\n	{"Pref"={"Pin-Priority"="8"}}
Pin: MjF\n\nPin-Priority: 42\n\nPin-Priority: 2\n	{"Pref"={"Pin"="MjF"}}{"Pref"={"Pin-Priority"="42"}}{"Pref"={"Pin-Priority"="2"}}
Pin-Priority: 92\n\nPackage: *\n	{"Pref"={"Pin-Priority"="92"}}{"Pref"={"Package"="*"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
# U\n	{"Pref"={"#comment"="U"}}
Explanation: \n\nExplanation: \n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=""}}
Package: *\n\nExplanation: E30Fk=I5\n\nExplanation: 6q98\n\n# 5\n	{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="E30Fk=I5"}}{"Pref"={"Explanation"="6q98"}}{"Pref"={"#comment"="5"}}
Explanation: Di'S\n\nPin: \n\nPin-Priority: 212\n	{"Pref"={"Explanation"="Di'S"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="212"}}
Pin: \n	{"Pref"={"Pin"=""}}
Package: *\n\nExplanation: w\n\nExplanation: u\n\nPin: \n	{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="w"}}{"Pref"={"Explanation"="u"}}{"Pref"={"Pin"=""}}
Pin-Priority: 3\n	{"Pref"={"Pin-Priority"="3"}}
Package: *\n\nPin: \n\nExplanation: \n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}
Explanation: D\n	{"Pref"={"Explanation"="D"}}
Package: P\n	{"Pref"={"Package"="P"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
# l:6\n	{"Pref"={"#comment"="l:6"}}
# ALe\n	{"Pref"={"#comment"="ALe"}}
Pin-Priority: 93\n\nExplanation: y'X\n\n# \n\nPin-Priority: 4\n\nPin: -VL'"Xdtrh\n	{"Pref"={"Pin-Priority"="93"}}{"Pref"={"Explanation"="y'X"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Pin"="-VL'"Xdtrh"}}
# IV\n	{"Pref"={"#comment"="IV"}}
Package: \n\nPin: hl t\n	{"Pref"={"Package"=""}}{"Pref"={"Pin"="hl t"}}
# \n	{"Pref"={"#comment"=""}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin: EA2b\n\nPin-Priority: 88\n\nPackage: *\n	{"Pref"={"Pin"="EA2b"}}{"Pref"={"Pin-Priority"="88"}}{"Pref"={"Package"="*"}}
# k\n\nExplanation: \n\nPin: ZZ-/dQ\n\nPin: Ks\n\nPin: Hb\n	{"Pref"={"#comment"="k"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="ZZ-/dQ"}}{"Pref"={"Pin"="Ks"}}{"Pref"={"Pin"="Hb"}}
Pin-Priority: 3\n\nPin-Priority: 2\n	{"Pref"={"Pin-Priority"="3"}}{"Pref"={"Pin-Priority"="2"}}
Pin: \n\n# -8\n	{"Pref"={"Pin"=""}}{"Pref"={"#comment"="-8"}}
# \n\nPackage: *\n\nExplanation: \n\n# \n\nPin: \n\nPin: \n\nPackage: *\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}
Package: g\n	{"Pref"={"Package"="g"}}
Package: *\n	{"Pref"={"Package"="*"}}
# \n	{"Pref"={"#comment"=""}}
Pin-Priority: 75\n\n# o\n\nExplanation: IS\n	{"Pref"={"Pin-Priority"="75"}}{"Pref"={"#comment"="o"}}{"Pref"={"Explanation"="IS"}}
Pin: V\n\nPackage: *\n\nPin: x\n\nPackage: *\n	{"Pref"={"Pin"="V"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"="x"}}{"Pref"={"Package"="*"}}
# \n\nPin-Priority: 5988167279\n\nPackage: *\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="5988167279"}}{"Pref"={"Package"="*"}}
Explanation: w\n\nExplanation: y\n\n# F\n\nPackage: *\n\nPin-Priority: 50\n\nExplanation: +r7_\n\n# \n	{"Pref"={"Explanation"="w"}}{"Pref"={"Explanation"="y"}}{"Pref"={"#comment"="F"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="50"}}{"Pref"={"Explanation"="+r7_"}}{"Pref"={"#comment"=""}}
Explanation: O.d\n\nPin-Priority: 80\n\nPackage: FDH\n\nPin: \n	{"Pref"={"Explanation"="O.d"}}{"Pref"={"Pin-Priority"="80"}}{"Pref"={"Package"="FDH"}}{"Pref"={"Pin"=""}}
Pin-Priority: 35615\n\nPin: 4p\n\nPackage: *\n	{"Pref"={"Pin-Priority"="35615"}}{"Pref"={"Pin"="4p"}}{"Pref"={"Package"="*"}}
Pin-Priority: 34843\n	{"Pref"={"Pin-Priority"="34843"}}
# T+\n\n# \n\nPin-Priority: 41\n\nPin-Priority: 9\n	{"Pref"={"#comment"="T+"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="41"}}{"Pref"={"Pin-Priority"="9"}}
Package: *\n\nPin: OpZ\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"="OpZ"}}
Explanation: P:l\n\nPackage: *\n	{"Pref"={"Explanation"="P:l"}}{"Pref"={"Package"="*"}}
Package: UW\n\nPin-Priority: 171709\n	{"Pref"={"Package"="UW"}}{"Pref"={"Pin-Priority"="171709"}}
