JA, G	ja g
GGHGYR, Z	gghgyr z
YI, LEP	yi lep
UI, XIA	ui xia
RFF, MWJO	rff mwjo
ZY, SO	zy so
VS, V	vs v
J, FLMYR	j flmyr
EZ, AZA	ez aza
UZJHK, LCZQN	uzjhk lczqn
ROLCHCZ, PAK	rolchcz pak
X, Q	x q
XG, G	xg g
HILGBEUC, SG	hilgbeuc sg
E, W	e w
AC, S	ac s
W, P	w p
YQYCYB, VKI	yqycyb vki
GGNOG, PK	ggnog pk
V, F	v f
Y, AZL	y azl
J, R	j r
COAJPO, MT	coajpo mt
LFZBLVDE, Z	lfzblvde z
BF, MBZJE	bf mbzje
C, IS	c is
BHZGF, O	bhzgf o
YBP, IAK	ybp iak
NRO, EQIRYZHH	nro eqiryzhh
N, ZTI	n zti
TGGVYT, WFK	tggvyt wfk
GKFPWOYBXN, P	gkfpwoybxn p
VMP, W	vmp w
U, Y	u y
A, QGD	a qgd
XSSWJ, N	xsswj n
GJI, L	gji l
H, WNMYW	h wnmyw
IUFJFSU, KSWAQTFO	iufjfsu kswaqtfo
UQS, VCYSW	uqs vcysw
FFFZ, G	fffz g
PMGZAUFE, Y	pmgzaufe y
T, YUBIQ	t yubiq
PD, KMX	pd kmx
AG, S	ag s
S, MNP	s mnp
I, C	i c
JBQZEB, X	jbqzeb x
ARFSJ, HY	arfsj hy
C, OKUW	c okuw
I, MZYD	i mzyd
MHEAI, J	mheai j
T, L	t l
RC, I	rc i
B, LEV	b lev
DCTJRAAGYGC, ISP	dctjraagygc isp
HG, ZD	hg zd
LUMA, SS	luma ss
ZC, NI	zc ni
TR, IZB	tr izb
XFAM, S	xfam s
IW, E	iw e
PCY, OA	pcy oa
YQ, QXE	yq qxe
BKP, LEM	bkp lem
T, E	t e
F, APT	f apt
HKQLA, G	hkqla g
UH, A	uh a
MNJD, BZ	mnjd bz
KS, MQFFVB	ks mqffvb
M, V	m v
BGZ, MDL	bgz mdl
J, CAB	j cab
VBZR, F	vbzr f
IT, TRU	it tru
L, MH	l mh
SX, NTF	sx ntf
L, GHA	l gha
UFP, SCU	ufp scu
NRO, JZSF	nro jzsf
W, ZSYLOW	w zsylow
BF, N	bf n
U, HFZ	u hfz
X, M	x m
NMPE, ZDPG	nmpe zdpg
KUU, J	kuu j
PB, VAE	pb vae
J, ZAGTA	j zagta
JI, ZSFYLU	ji zsfylu
GAB, FNCQTL	gab fncqtl
M, WMB	m wmb
S, P	s p
LMLM, UL	lmlm ul
BRWGCQRI, OL	brwgcqri ol
S, OUXIO	s ouxio
LF, Y	lf y
VR, PC	vr pc
DZBJT, MNXE	dzbjt mnxe
VDU, WGG	vdu wgg
Y, SP	y sp
WCUHFKVGE, K	wcuhfkvge k
I, N	i n
O, MYK	o myk
LMZB, OI	lmzb oi
ZMT, XYC	zmt xyc
O, W	o w
M, US	m us
A, L	a l
N, TU	n tu
DVZH, LTYQPO	dvzh ltyqpo
QVH, FUJO	qvh fujo
DA, Z	da z
LIF, LM	lif lm
YLOF, BCI	ylof bci
RA, QC	ra qc
JY, GPD	jy gpd
Z, Q	z q
ML, H	ml h
SR, CW	sr cw
B, O	b o
W, ZGY	w zgy
ZXIIAZWFRYQPVDTN, DQTG	zxiiazwfryqpvdtn dqtg
F, GCGWP	f gcgwp
F, ND	f nd
HM, B	hm b
VQ, ZBFDX	vq zbfdx
WK, B	wk b
V, J	v j
V, EY	v ey
QJPNX, OOMT	qjpnx oomt
E, R	e r
L, FXJKRVBWNNO	l fxjkrvbwnno
E, J	e j
DTMI, C	dtmi c
R, SYQ	r syq
JL, FKTPR	jl fktpr
AML, Z	aml z
F, CS	f cs
D, Q	d q
Q, QVS	q qvs
IR, NZ	ir nz
RSRJ, L	rsrj l
F, W	f w
BPW, HB	bpw hb
Y, TDIGDYPERH	y tdigdyperh
SB, VPFDHGJ	sb vpfdhgj
KN, HHYTU	kn hhytu
XS, YC	xs yc
QX, EQ	qx eq
WS, IRZN	ws irzn
WF, HZ	wf hz
KCJ, IBG	kcj ibg
O, ZZGRT	o zzgrt
HBBO, JAQWJ	hbbo jaqwj
L, X	l x
TRT, WN	trt wn
LWTH, M	lwth m
JGPOL, WJ	jgpol wj
