3071112/112223611123131/1254	112223611123131/3071112/1254
1111112/12239122234122222381123831/9903	12239122234122222381123831/1111112/9903
911111112/1112223631/3936	1112223631/911111112/3936
5111111111112/122223112222233112222223931/6371	122223112222233112222223931/5111111111112/6371
61111111112/1123611230123731/0736	1123611230123731/61111111112/0736
01112/123231/6701	123231/01112/6701
162111112/11223431/4654	11223431/162111112/4654
01112/123111112311112223211111123531/7170	123111112311112223211111123531/01112/7170
01111111112/12223931/2038	12223931/01111111112/2038
51711111112/111235111222223631/6161	111235111222223631/51711111112/6161
47111112/1112223412223511222223831/4667	1112223412223511222223831/47111112/4667
6611111112/1111222223231/3672	1111222223231/6611111112/3672
1111111111111112/1238123711238123511112222239111111111122223131/4749	1238123711238123511112222239111111111122223131/1111111111111112/4749
1561112/1222361111123431/1098	1222361111123431/1561112/1098
77111112/122222237123231/8859	122222237123231/77111112/8859
52941112/123431/9660	123431/52941112/9660
7111111111112/1111222222236123331/7586	1111222222236123331/7111111111112/7586
7021111111112/123111111122371235111111123412301237111122223731/0726	123111111122371235111111123412301237111122223731/7021111111112/0726
511111112/11123331/9992	11123331/511111112/9992
81112/123031/8059	123031/81112/8059
6698559620008111112/1222223031/1732	1222223031/6698559620008111112/1732
2751112/11122223611111123431/1391	11122223611111123431/2751112/1391
911111112/111123531/5385	111123531/911111112/5385
48111112/1111236123631/0629	1111236123631/48111112/0629
2111112/1122223831/1677	1122223831/2111112/1677
6741111112/111111123631/2369	111111123631/6741111112/2369
51112/1111123011223712236111123931/1769	1111123011223712236111123931/51112/1769
3464111112/1111232112222235112361123811231122237123531/5464	1111232112222235112361123811231122237123531/3464111112/5464
91112/111122223731/0416	111122223731/91112/0416
5221112/11122331111223511238123431/8239	11122331111223511238123431/5221112/8239
35111112/11112371236123431/1593	11112371236123431/35111112/1593
63111112/1111112381222223612223831/0416	1111112381222223612223831/63111112/0416
201111111112/12351111231123431/0710	12351111231123431/201111111112/0710
03111112/122222222381222222223231/1767	122222222381222222223231/03111112/1767
4697118111111111112/112223312223231/7392	112223312223231/4697118111111111112/7392
01112/123731/4811	123731/01112/4811
91111111112/1122237111123211236122341233111223831/2865	1122237111123211236122341233111223831/91111111112/2865
91111111112/111223231/4640	111223231/91111111112/4640
16411111112/11111123212223811112321239111111111123831/0992	11111123212223811112321239111111111123831/16411111112/0992
811111112/1123931/0711	1123931/811111112/0711
6111112/12222361223831/9342	12222361223831/6111112/9342
81112/111123231/5513	111123231/81112/5513
