Test,ForceExpandTime,ForceExpandExamplesRequired,ComputationTime,ExamplesRequired
address-problems.ls,0.05502,Timeout,4.09188,Timeout
bibtex-problem.ls,Timeout,Timeout,Timeout,Timeout
capitalization-problem.ls,Timeout,Timeout,0.00119,0.0
cateredtext.ls,0.00005,0.0,0.00005,0.0
concat.ls,0.00003,0.0,0.00004,0.0
concat-assoc-problem.ls,0.00004,0.0,0.00005,0.0
date-problems.ls,0.00084,0.0,0.00014,0.0
difficult-example.ls,Timeout,Timeout,Timeout,Timeout
distributivity-problem.ls,0.00005,0.0,0.00005,0.0
double-capitalization-problem.ls,0.04583,0.0,0.04491,0.0
empty-leftident-problem.ls,0.00003,0.0,0.00003,0.0
empty-rightident-problem.ls,0.00003,0.0,0.00003,0.0
exampled-determination.ls,0.01433,1.0,0.01464,1.0
hard.ls,0.02565,1.0,0.00204,1.0
iterate.ls,0.00003,0.0,0.00003,0.0
name-date-userdef.ls,0.00425,1.7,0.00068,1.7
reallyhard.ls,0.00016,0.0,0.00020,0.0
star-problem.ls,Timeout,Timeout,Timeout,Timeout
star-quotient-problem.ls,Timeout,Timeout,Timeout,Timeout
swap.ls,0.00003,0.0,0.00004,0.0
twoconst.ls,0.00002,0.0,0.00004,0.0
union.ls,0.00004,0.0,0.00005,0.0
union-assoc-problem.ls,0.00004,0.0,0.00005,0.0
union-commut-problem.ls,0.00003,0.0,0.00004,0.0
userdef.ls,0.00002,0.0,0.00003,0.0
augeas/access.ls,0.04437,0.0,0.00635,0.0
augeas/activemq.ls,0.00799,0.0,0.00234,0.0
augeas/afs-cellalias.ls,0.01258,0.0,0.00083,0.0
augeas/alias.ls,0.00461,0.0,0.00071,0.0
augeas/anacron.ls,Timeout,Timeout,2.11568,0.0
augeas/approx.ls,Timeout,Timeout,0.00214,0.0
augeas/apt-update-manager.ls,0.00714,0.0,0.00337,0.0
augeas/aptcacherngsecurity.ls,0.00556,0.0,0.00147,0.0
augeas/aptconf.ls,Timeout,Timeout,Timeout,Timeout
augeas/aptconf-l1.ls,Timeout,Timeout,Timeout,Timeout
augeas/aptconf-nocomment.ls,0.01743,0.0,0.00456,0.0
augeas/aptprefs.ls,0.10238,0.0,Timeout,Timeout
augeas/aptsources.ls,0.01640,0.0,0.00292,0.0
augeas/authorized-keys.ls,0.01216,0.0,0.00221,0.0
augeas/xml-firstlevel.ls,Timeout,Timeout,0.09677,0.0
augeas/xml.ls,Timeout,Timeout,Timeout,Timeout
flashfill/extract-number.ls,0.00365,0.0,0.00103,0.0
flashfill/extract-quantity.ls,0.00221,0.0,0.00112,0.0
