OHGQ, VWS	ohgq vws
V, RH	v rh
XJ, PHXT	xj phxt
U, A	u a
RUNDA, JI	runda ji
S, F	s f
XS, ZX	xs zx
X, Z	x z
JEHRGMEV, T	jehrgmev t
A, F	a f
HH, XF	hh xf
SZ, ISJ	sz isj
I, JPZ	i jpz
KJZW, OICL	kjzw oicl
P, F	p f
W, BWBB	w bwbb
SCI, ADFE	sci adfe
L, CLY	l cly
AKES, SV	akes sv
IYRYF, B	iyryf b
YRJB, CF	yrjb cf
ON, X	on x
BME, L	bme l
AP, WA	ap wa
R, PNUW	r pnuw
O, ABORP	o aborp
EF, UVZ	ef uvz
UQEQZWZZ, E	uqeqzwzz e
ZZAVHDZ, UY	zzavhdz uy
K, J	k j
N, PY	n py
QQHMOZISB, OTH	qqhmozisb oth
IGH, E	igh e
KC, JD	kc jd
L, TGA	l tga
AXXWQ, MB	axxwq mb
XOFOW, T	xofow t
P, TW	p tw
Q, H	q h
DR, ABOGUSNG	dr abogusng
T, I	t i
QXIS, MHN	qxis mhn
EH, EP	eh ep
KTW, VZISD	ktw vzisd
SF, H	sf h
PU, QYR	pu qyr
Y, SN	y sn
T, YHFLM	t yhflm
WE, GVIUG	we gviug
P, UPW	p upw
BZ, RN	bz rn
XX, R	xx r
HINHI, P	hinhi p
PA, K	pa k
PZYBW, B	pzybw b
Q, U	q u
BE, DD	be dd
K, F	k f
JDX, UQGXAY	jdx uqgxay
QFCSC, LEFZ	qfcsc lefz
MAR, MO	mar mo
VZSS, PFNTXPOVV	vzss pfntxpovv
YAT, Y	yat y
PBIUCBAS, MX	pbiucbas mx
PT, D	pt d
X, S	x s
B, ZH	b zh
X, T	x t
ERAS, IW	eras iw
PJ, O	pj o
M, Y	m y
XZ, E	xz e
S, V	s v
NT, MPG	nt mpg
P, EDH	p edh
C, T	c t
A, SRTDWQNA	a srtdwqna
Y, N	y n
CHKP, JOXNT	chkp joxnt
BF, EM	bf em
M, WT	m wt
