# _4C\n\nExplanation: \n	{"Pref"={"#comment"="_4C"}}{"Pref"={"Explanation"=""}}
# 2I\n	{"Pref"={"#comment"="2I"}}
# r\n	{"Pref"={"#comment"="r"}}
Pin-Priority: 393\n\nPin-Priority: 8\n\nPackage: hD"\n	{"Pref"={"Pin-Priority"="393"}}{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Package"="hD""}}
# T\n	{"Pref"={"#comment"="T"}}
Package: *\n\nPin: "d\n\nPackage: *\n\nExplanation: 78\n\n# \n\nPin: Y_\n\nPackage: \n\n# \n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"=""d"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="78"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"="Y_"}}{"Pref"={"Package"=""}}{"Pref"={"#comment"=""}}
# MA\n\nPin: \n\nPin-Priority: 65\n\nPin: -1Z\n\nPin-Priority: 751\n\nPin-Priority: 789\n	{"Pref"={"#comment"="MA"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="65"}}{"Pref"={"Pin"="-1Z"}}{"Pref"={"Pin-Priority"="751"}}{"Pref"={"Pin-Priority"="789"}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: *\n\nPackage: \n\nPin: \n\nPin-Priority: 00\n\nExplanation: REQ\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="00"}}{"Pref"={"Explanation"="REQ"}}
Explanation: gc\n\nPin: Gc\n\nPin: \n\nPackage: *\n\nPackage: *\n\nPin: l\n	{"Pref"={"Explanation"="gc"}}{"Pref"={"Pin"="Gc"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"="l"}}
# 8qVi\n	{"Pref"={"#comment"="8qVi"}}
Package: *\n\nPackage: *\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Package: 2\n	{"Pref"={"Package"="2"}}
Pin-Priority: 25\n	{"Pref"={"Pin-Priority"="25"}}
Pin-Priority: 0\n	{"Pref"={"Pin-Priority"="0"}}
# 7\n	{"Pref"={"#comment"="7"}}
Package: 8b\n	{"Pref"={"Package"="8b"}}
Package: *\n\nPackage: *\n\nPin-Priority: 574\n\nPackage: *\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="574"}}{"Pref"={"Package"="*"}}
Explanation: \n\nPin-Priority: 9\n\nExplanation: z6XX\n\n# \n\nExplanation: \n\nPackage: *\n\nPin: \n\nPackage: *\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="9"}}{"Pref"={"Explanation"="z6XX"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}
Explanation: M\n	{"Pref"={"Explanation"="M"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin: UNSh\n	{"Pref"={"Pin"="UNSh"}}
Pin: \n\nPin: :eD\n\nPin: h\n\nPin: \n\nPin: \n	{"Pref"={"Pin"=""}}{"Pref"={"Pin"=":eD"}}{"Pref"={"Pin"="h"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"=""}}
# \n\nPin-Priority: 1680\n\nPin: UO+/ynvFTca\n\n# \n\nPackage: *\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="1680"}}{"Pref"={"Pin"="UO+/ynvFTca"}}{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}
Pin-Priority: 3\n	{"Pref"={"Pin-Priority"="3"}}
Explanation: \n\n# \n	{"Pref"={"Explanation"=""}}{"Pref"={"#comment"=""}}
Explanation: \n\nPin-Priority: 008\n\nPin-Priority: 0817192\n\nExplanation: \n\nPackage: *\n\nPin: \n\nPin-Priority: 9\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="008"}}{"Pref"={"Pin-Priority"="0817192"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="9"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin-Priority: 8\n\nPin: \n\nPin-Priority: 7205\n\nPin-Priority: 5\n\nPackage: *\n\nPackage: \n\nPin: l\n\nPin: S\n	{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="7205"}}{"Pref"={"Pin-Priority"="5"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"=""}}{"Pref"={"Pin"="l"}}{"Pref"={"Pin"="S"}}
Pin: Q\n\n# V6\n	{"Pref"={"Pin"="Q"}}{"Pref"={"#comment"="V6"}}
# 9\n\nPackage: \n\nExplanation: SlD\n\nPin: \n	{"Pref"={"#comment"="9"}}{"Pref"={"Package"=""}}{"Pref"={"Explanation"="SlD"}}{"Pref"={"Pin"=""}}
Pin: \n\nPin-Priority: 45299\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="45299"}}
Explanation: \n\n# C\n\n# \n\nPackage: \n	{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="C"}}{"Pref"={"#comment"=""}}{"Pref"={"Package"=""}}
Package: *\n\n# GYd\n\n# \n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"="GYd"}}{"Pref"={"#comment"=""}}
# Y\n	{"Pref"={"#comment"="Y"}}
Explanation: M\n	{"Pref"={"Explanation"="M"}}
Explanation: dEGK\n\nExplanation: v'"\n	{"Pref"={"Explanation"="dEGK"}}{"Pref"={"Explanation"="v'""}}
# \n\nPin: -\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin"="-"}}
Explanation: -NX\n	{"Pref"={"Explanation"="-NX"}}
Pin-Priority: 21\n\n# .\n\nPin-Priority: 30\n\n# OYyiGb\n\nPin-Priority: 80986\n\nPin: KYmNyq\n	{"Pref"={"Pin-Priority"="21"}}{"Pref"={"#comment"="."}}{"Pref"={"Pin-Priority"="30"}}{"Pref"={"#comment"="OYyiGb"}}{"Pref"={"Pin-Priority"="80986"}}{"Pref"={"Pin"="KYmNyq"}}
Pin: '\n	{"Pref"={"Pin"="'"}}
Pin-Priority: 116623\n	{"Pref"={"Pin-Priority"="116623"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin-Priority: 315\n	{"Pref"={"Pin-Priority"="315"}}
Pin: 2\n\nPin: iwAJG\n\nPin: j\n	{"Pref"={"Pin"="2"}}{"Pref"={"Pin"="iwAJG"}}{"Pref"={"Pin"="j"}}
Pin: .\n\n# aB3\n\nPin: \n	{"Pref"={"Pin"="."}}{"Pref"={"#comment"="aB3"}}{"Pref"={"Pin"=""}}
